merge_key,cases_total,label
lhospitalet-de-llobregat,32570,Lhospitalet de Llobregat
valles-oriental,27484,Valles Oriental
castelldefels,23927,Castelldefels
selva,20472,Selva
vilafranca-del-penedes,19835,Vilafranca del Penedes
terrassa,18922,Terrassa
sant-boi-de-llobregat,18803,Sant Boi de Llobregat
barcelona,18414,Barcelona
lleida,17577,Lleida
prat-de-llobregat,17072,Prat de Llobregat
sabadell,15329,Sabadell
santa-coloma-de-gramenet,14348,Santa Coloma de Gramenet
valles-occidental,14255,Valles Occidental
sant-joan-despi,13106,Sant Joan Despi
badalona,12792,Badalona
garrotxa,12729,Garrotxa
sant-cugat-del-valles,12400,Sant Cugat del Valles
baix-penedes,11353,Baix Penedes
viladecans,11217,Viladecans
calafell,10821,Calafell
oficina-icd-de-barcelona,10549,Oficina Icd de Barcelona
vilanova-i-la-geltru,10244,Vilanova I La Geltru
sant-adria-del-besos,9977,Sant Adria del Besos
segria,9938,Segria
mollet-del-valles,9880,Mollet del Valles
rubi,9780,Rubi
girona,9530,Girona
baix-camp,9453,Baix Camp
valls,9041,Valls
ripollet,9014,Ripollet
barbera-del-valles,8632,Barbera del Valles
premia-de-mar,8590,Premia de Mar
tarragones,8449,Tarragones
gava,8344,Gava
baix-llobregat,8309,Baix Llobregat
maresme,8295,Maresme
mataro,7880,Mataro
montcada-i-reixac,7616,Montcada I Reixac
salou,7264,Salou
ajuntament-dolesa-de-montserrat,6807,Ajuntament Dolesa de Montserrat
reus,6723,Reus
vilassar-de-mar,6652,Vilassar de Mar
sitges,6405,Sitges
baix-ebre,6341,Baix Ebre
sant-quirze-del-valles,6170,Sant Quirze del Valles
cerdanyola-del-valles,6016,Cerdanyola del Valles
consorci-benestar-social-del-ripolles,5887,Consorci Benestar Social del Ripolles
blanes,5805,Blanes
lalt-camp,5778,Lalt Camp
sant-pere-de-ribes,5709,Sant Pere de Ribes
figueres,5708,Figueres
cornella-de-llobregat,5678,Cornella de Llobregat
manresa,5673,Manresa
lalt-penedes,5670,Lalt Penedes
baix-emporda,5612,Baix Emporda
vendrell,5259,Vendrell
granollers,5156,Granollers
pla-de-lestany,5105,Pla de Lestany
tarragona,4982,Tarragona
garraf,4906,Garraf
sant-vicenc-dels-horts,4888,Sant Vicenc Dels Horts
consell-comarcal-dosona,4641,Consell Comarcal Dosona
manlleu,4635,Manlleu
cerdanya,4629,Cerdanya
noguera,4595,Noguera
pallars-jussa,4433,Pallars Jussa
franqueses-del-valles,4256,Franqueses del Valles
bages,4217,Bages
sant-andreu-de-la-barca,4126,Sant Andreu de La Barca
cambrils,4061,Cambrils
ajuntament-desplugues-de-llobregat,3944,Ajuntament Desplugues de Llobregat
ajuntament-digualada,3908,Ajuntament Digualada
martorell,3869,Martorell
vic,3867,Vic
ribera-debre,3841,Ribera Debre
masnou,3815,Masnou
conca-de-barbera,3765,Conca de Barbera
roses,3630,Roses
lloret-de-mar,3516,Lloret de Mar
moianes,3316,Moianes
garrigues,3204,Garrigues
solsones,3183,Solsones
lanoia,3153,Lanoia
sant-feliu-de-llobregat,3128,Sant Feliu de Llobregat
lalt-emporda,3117,Lalt Emporda
sant-feliu-de-guixols,3058,Sant Feliu de Guixols
molins-de-rei,2871,Molins de Rei
segarra,2782,Segarra
lalta-ribagorca,2777,Lalta Ribagorca
tortosa,2656,Tortosa
oficina-icd-de-lleida,2624,Oficina Icd de Lleida
bergueda,2509,Bergueda
santa-perpetua-de-la-mogoda,2499,Santa Perpetua de La Mogoda
vila-seca,2422,Vila Seca
terra-alta,2381,Terra Alta
girones,2350,Girones
oficina-icd-de-girona,2294,Oficina Icd de Girona
pineda-de-mar,2164,Pineda de Mar
castellar-del-valles,1997,Castellar del Valles
montsia,1832,Montsia
pallars-sobira,1757,Pallars Sobira
ajuntament-desparraguera,1746,Ajuntament Desparraguera
pla-durgell,1732,Pla Durgell
salt,1667,Salt
conselh-generau-daran,1647,Conselh Generau Daran
oficina-icd-de-tarragona,1614,Oficina Icd de Tarragona
palafrugell,1574,Palafrugell
ajuntament-damposta,1333,Ajuntament Damposta
priorat,1179,Priorat
oficina-icd-de-terres-de-lebre,1041,Oficina Icd de Terres de Lebre
mancomunitat-de-la-conca-dodena,863,Mancomunitat de La Conca Dodena
badia-del-valles,588,Badia del Valles
lurgell,500,Lurgell
lalt-urgell,471,Lalt Urgell
banyoles,307,Banyoles
