idsiad,nom_del_centre,tipus_de_via,adre_a,codi_postal,poblaci,comarca,demarcaci,cerca,tel_fon,correu_electr_nic,tipus,titularitat,latitud,longitud,geocoded_column,:@computed_region_bh64_c7uy,:@computed_region_wvic_k925
1,Informació i atenció a les Dones d'Arbúcies,Carrer,"Major, 2",17401,Arbúcies,Selva,Comarques Gironines,Selva,972860001,siod@ajarbucies.cat,IAD,Ajuntament d'Arbúcies,41.8161111,2.5116284,"{'type': 'Point', 'coordinates': [2.5116284, 41.8161111]}",730,20
123,Servei d'informació i atenció a les dones (SIAD) del Solsonès,Carrer,"dels Dominics, 14",25280,Solsona,Solsonès,Comarques Centrals,Solsonès,973483234,siad@elsolsones.cat,SIAD,Consell Comarcal del Solsonès,41.99582,1.51909,"{'type': 'Point', 'coordinates': [1.51909, 41.99582]}",132,12
75,Servei d'informació i atenció a les dones (SIAD) de Reus,Plaça,"de la Patacada, 9",43201,Reus,Baix Camp,Camp de Tarragona,Baix Camp,977010672,siad@reus.cat,SIAD,Ajuntament de Reus,41.1545,1.10501,"{'type': 'Point', 'coordinates': [1.10501, 41.1545]}",421,39
145,Servei d'Intervenció Especialitzada en violència masclista (SIE) de Tarragona,Carrer,"Cristòfol Colom, 28, 1r",43001,Tarragona,Tarragonès,Camp de Tarragona,Tarragonès,977920406,bustia.sietarragona@gencat.cat,SIE,Generalitat de Catalunya,41.1151473,1.2455471,"{'type': 'Point', 'coordinates': [1.2455471, 41.1151473]}",230,37
105,Servei d'informació i atenció a les dones (SIAD) del Baix Empordà,Plaça,"Joan Carreras i Dagas, 4-5, baixos",17100,La Bisbal d'Empordà,Baix Empordà,Comarques Gironines,Baix Empordà,972642310,siad@baixemporda.cat,SIAD,Consell Comarcal del Baix Empordà,41.95793,3.03848,"{'type': 'Point', 'coordinates': [3.03848, 41.95793]}",28,16
93,Servei d'informació i atenció a les dones (SIAD) de Sitges,Carrer,"Carrer Samuel Barrachina, 3",8870,Sitges,Garraf,Penedès,Garraf,938113180,igualtat@sitges.cat,SIAD,Ajuntament de Sitges,41.2373,1.81566,"{'type': 'Point', 'coordinates': [1.81566, 41.2373]}",457,34
118,Servei d'informació i atenció a les dones (SIAD) del Pla d'Urgell,Carrer,"de Prat de la Riba, 1",25230,Mollerussa,Pla d'Urgell,Ponent,Pla d'Urgell,973711313,areadona@plaurgell.cat,SIAD,Consell Comarcal del Pla d'Urgell,41.63168,0.89424,"{'type': 'Point', 'coordinates': [0.89424, 41.63168]}",543,23
6,Informació i atenció a les dones de Llinars del Vallès,Carrer,"Mas Bagà, 24",8450,Llinars del Vallès,Vallès Oriental,Metropolità,Vallès Oriental,938413842,puntdona@llinarsdelvalles.cat,IAD,Ajuntament de Llinars del Vallès,41.640128,2.402898,"{'type': 'Point', 'coordinates': [2.402898, 41.640128]}",797,22
12,Informació i atenció a les dones de Badia del Vallès,Avinguda,Avda. de la Costa Blava s/n. Edifici El Molí 2n pis,8214,Badia del Vallès,Vallès Occidental,Metropolità,Vallès Occidental,635531036 (whatsapp),badiacird@gmail.com,IAD,Ajuntament de Badia del Vallès,41.5063079,2.119554,"{'type': 'Point', 'coordinates': [2.119554, 41.5063079]}",563,26
62,Servei d'informació i atenció a les dones (SIAD) de Lleida,Plaça,"dels Fanalets de Sant Jaume, s/n",25002,Lleida,Segrià,Ponent,Segrià,973700461,politiquesigualtat@paeria.cat,SIAD,Ajuntament de Lleida,41.61399,0.62376,"{'type': 'Point', 'coordinates': [0.62376, 41.61399]}",875,21
149,Servei d'Intervenció Especialitzada en violència masclista (SIE) del Garraf - Penedès,Carrer,"Josep Llanza, 1-7, 2n-2a",8800,Vilanova i la Geltrú,Garraf,Penedès,Garraf,937079473,bustia.siegarrafpenedes@gencat.cat,SIE,Generalitat de Catalunya,41.222496,1.7228153,"{'type': 'Point', 'coordinates': [1.7228153, 41.222496]}",412,34
