name,fieldName,dataTypeName,description,items,counts,serviceType,sourceURL
IDSIAD,idsiad,text,,"['155', '154', '123', '75', '96', '129', '121', '32', '113', '93', '94', '95', '34', '104', '115', '144', '2', '134', '76', '8']","[('155', '2'), ('154', '2'), ('123', '1'), ('75', '1'), ('96', '1'), ('129', '1'), ('121', '1'), ('32', '1'), ('113', '1'), ('93', '1'), ('94', '1'), ('95', '1'), ('34', '1'), ('104', '1'), ('115', '1'), ('144', '1'), ('2', '1'), ('134', '1'), ('76', '1'), ('8', '1')]",SIE,
NOM DEL CENTRE,nom_del_centre,text,Nom del SIAD o SIE ,"[""Servei d'Intervenció Especialitzada en violència masclista (SIE) de Tarragona"", ""Servei d'informació i atenció a les dones (SIAD) de Castelldefels"", ""Servei d'informació i atenció a les dones (SIAD) de Santa Perpètua de la Mogoda"", ""Servei d'informació i atenció a les dones (SIAD) de Lleida"", ""Servei d'informació i atenció a les dones (SIAD) de Sant Joan Despí"", ""Servei d'informació i atenció a les dones (SIAD) del Gironès - Salt"", ""Servei d'Atenció, Recuperació i Acollida (SARA) de Barcelona"", ""Servei d'informació i atenció a les dones (SIAD) del Moianès"", ""Punt d'informació i atenció a les dones (PIAD) de Barcelona - Nou Barris"", ""Informació i atenció a les dones de Sant Sadurní d'Anoia"", ""Servei d'informació i atenció a les dones (SIAD) d'Igualada"", ""Servei d'informació i atenció a les dones (SIAD) de Pineda de Mar"", ""Servei d'informació i atenció a les dones (SIAD) del Solsonès"", ""Servei d'informació i atenció a les dones (SIAD) del Ripollès"", ""Punt d'informació i atenció a les dones (PIAD) de Barcelona - Eixample"", ""Servei d'informació i atenció a les dones (SIAD) de Sitges"", ""Punt d'informació i atenció a les dones (PIAD) de Barcelona - Sants-Montjuïc"", ""Servei d'Intervenció Especialitzada en violència masclista (SIE) del Baix Llobregat - Sant Feliu de Llobregat"", ""Servei d'informació i atenció a les dones (SIAD) de Sabadell"", ""Servei d'informació i atenció a les dones (SIAD) de Lloret de Mar""]","[(""Servei d'Intervenció Especialitzada en violència masclista (SIE) de Tarragona"", '2'), (""Servei d'informació i atenció a les dones (SIAD) de Castelldefels"", '1'), (""Servei d'informació i atenció a les dones (SIAD) de Santa Perpètua de la Mogoda"", '1'), (""Servei d'informació i atenció a les dones (SIAD) de Lleida"", '1'), (""Servei d'informació i atenció a les dones (SIAD) de Sant Joan Despí"", '1'), (""Servei d'informació i atenció a les dones (SIAD) del Gironès - Salt"", '1'), (""Servei d'Atenció, Recuperació i Acollida (SARA) de Barcelona"", '1'), (""Servei d'informació i atenció a les dones (SIAD) del Moianès"", '1'), (""Punt d'informació i atenció a les dones (PIAD) de Barcelona - Nou Barris"", '1'), (""Informació i atenció a les dones de Sant Sadurní d'Anoia"", '1'), (""Servei d'informació i atenció a les dones (SIAD) d'Igualada"", '1'), (""Servei d'informació i atenció a les dones (SIAD) de Pineda de Mar"", '1'), (""Servei d'informació i atenció a les dones (SIAD) del Solsonès"", '1'), (""Servei d'informació i atenció a les dones (SIAD) del Ripollès"", '1'), (""Punt d'informació i atenció a les dones (PIAD) de Barcelona - Eixample"", '1'), (""Servei d'informació i atenció a les dones (SIAD) de Sitges"", '1'), (""Punt d'informació i atenció a les dones (PIAD) de Barcelona - Sants-Montjuïc"", '1'), (""Servei d'Intervenció Especialitzada en violència masclista (SIE) del Baix Llobregat - Sant Feliu de Llobregat"", '1'), (""Servei d'informació i atenció a les dones (SIAD) de Sabadell"", '1'), (""Servei d'informació i atenció a les dones (SIAD) de Lloret de Mar"", '1')]",SIE,
TIPUS DE VIA,tipus_de_via,text,"Carrer, Avinguda, Plaça, etc","['Carrer', 'Plaça', 'Avinguda', 'Passeig', 'Carretera', 'Passatge', 'Travessia', 'Jardins', 'Gran Via', 'Carreró', 'Muralla', 'Rambla', 'Pas', 'Rambleta']","[('Carrer', '92'), ('Plaça', '36'), ('Avinguda', '9'), ('Passeig', '3'), ('Carretera', '2'), ('Passatge', '1'), ('Travessia', '1'), ('Jardins', '1'), ('Gran Via', '1'), ('Carreró', '1'), ('Muralla', '1'), ('Rambla', '1'), ('Pas', '1'), ('Rambleta', '1')]",SIE,
ADREÇA,adre_a,text,"Nom del carrer, avinguda, plaça, etc.","['Àngel Guimerà, 106-108', 'Pere Alsius, 12, 1r', 'Santiago Rusiñol, 8', 'Santa Eulàlia, 40', 'Salvador Casas, núm. 17', 'Major de Nou Barris, 1', ""d'Àngel Guimerà, 28-30"", 'La Salut, núm. 1', 'de la Constitució, 5', 'Carrer Samuel Barrachina, 3', 'Cremat, 24, 3r 1a', 'de Sant Miquel, 5', 'de la Lluna, 3', 'Belles Arts, 19', 'Lluís Companys, núm. 19, 1r', 'Joan Carreras i Dagas, 4-5, baixos', ""de Sant Miquel, nº 6, Seu d'Es Tint, 1r pis"", 'Progrés, 22', 'Comes, 18', 'Consell de la Vila, 7']","[('Àngel Guimerà, 106-108', '3'), ('Pere Alsius, 12, 1r', '2'), ('Santiago Rusiñol, 8', '1'), ('Santa Eulàlia, 40', '1'), ('Salvador Casas, núm. 17', '1'), ('Major de Nou Barris, 1', '1'), (""d'Àngel Guimerà, 28-30"", '1'), ('La Salut, núm. 1', '1'), ('de la Constitució, 5', '1'), ('Carrer Samuel Barrachina, 3', '1'), ('Cremat, 24, 3r 1a', '1'), ('de Sant Miquel, 5', '1'), ('de la Lluna, 3', '1'), ('Belles Arts, 19', '1'), ('Lluís Companys, núm. 19, 1r', '1'), ('Joan Carreras i Dagas, 4-5, baixos', '1'), (""de Sant Miquel, nº 6, Seu d'Es Tint, 1r pis"", '1'), ('Progrés, 22', '1'), ('Comes, 18', '1'), ('Consell de la Vila, 7', '1')]",SIE,
CODI POSTAL,codi_postal,text,Codi postal ,"['17190', '8800', '8980', '8401', '43870', '8241', '8301', '8700', '17600', '25300', '17300', '8912', '8830', '25700', '17820', '8500', '8042', '43500', '8221', '25007']","[('17190', '4'), ('8800', '3'), ('8980', '3'), ('8401', '3'), ('43870', '3'), ('8241', '3'), ('8301', '3'), ('8700', '3'), ('17600', '3'), ('25300', '2'), ('17300', '2'), ('8912', '2'), ('8830', '2'), ('25700', '2'), ('17820', '2'), ('8500', '2'), ('8042', '2'), ('43500', '2'), ('8221', '2'), ('25007', '2')]",SIE,
POBLACIÓ,poblaci,text,Població on està situat el SIAD o SIE,"['Barcelona', 'Salt', 'Tarragona', 'Terrassa', 'Manresa', 'Amposta', 'Vilanova i la Geltrú', 'Sant Feliu de Llobregat', 'Mataró', 'Lleida', 'Igualada', 'Granollers', 'Figueres', 'Sabadell', 'Banyoles', 'Vic', 'Blanes', 'Sant Boi de Llobregat', 'Tortosa', 'Badalona']","[('Barcelona', '12'), ('Salt', '4'), ('Tarragona', '4'), ('Terrassa', '3'), ('Manresa', '3'), ('Amposta', '3'), ('Vilanova i la Geltrú', '3'), ('Sant Feliu de Llobregat', '3'), ('Mataró', '3'), ('Lleida', '3'), ('Igualada', '3'), ('Granollers', '3'), ('Figueres', '3'), ('Sabadell', '2'), ('Banyoles', '2'), ('Vic', '2'), ('Blanes', '2'), ('Sant Boi de Llobregat', '2'), ('Tortosa', '2'), ('Badalona', '2')]",SIE,
COMARCA,comarca,text,Comarca,"['Baix Llobregat', 'Barcelonès', 'Vallès Occidental', 'Vallès Oriental', 'Maresme', 'Tarragonès', 'Gironès', 'Garraf', 'Selva', 'Alt Empordà', 'Baix Empordà', 'Segrià', 'Osona', 'Baix Camp', 'Montsià', 'Baix Penedès', 'Alt Penedès', 'Bages', 'Anoia', ""Pla de l'Estany""]","[('Baix Llobregat', '19'), ('Barcelonès', '17'), ('Vallès Occidental', '15'), ('Vallès Oriental', '11'), ('Maresme', '8'), ('Tarragonès', '6'), ('Gironès', '5'), ('Garraf', '5'), ('Selva', '4'), ('Alt Empordà', '4'), ('Baix Empordà', '4'), ('Segrià', '3'), ('Osona', '3'), ('Baix Camp', '3'), ('Montsià', '3'), ('Baix Penedès', '3'), ('Alt Penedès', '3'), ('Bages', '3'), ('Anoia', '3'), (""Pla de l'Estany"", '2')]",SIE,
DEMARCACIÓ,demarcaci,text,,"['Metropolità', 'Comarques Gironines', 'Penedès', 'Camp de Tarragona', 'Comarques Centrals', 'Ponent', 'Alt Pirineu i Aran', ""Terres de l'Ebre""]","[('Metropolità', '70'), ('Comarques Gironines', '22'), ('Penedès', '14'), ('Camp de Tarragona', '13'), ('Comarques Centrals', '9'), ('Ponent', '9'), ('Alt Pirineu i Aran', '7'), (""Terres de l'Ebre"", '7')]",SIE,
CERCA,cerca,text,"Fins ara les cerques es feien per comarca clicant a sobre d’un mapa la comarca, i apareixia el llistat de SIAD i SIE d’aquella comarca.","['Baix Llobregat', 'Barcelonès', 'Vallès Occidental', 'Vallès Oriental', 'Maresme', 'Tarragonès', 'Gironès', 'Garraf', 'Baix Empordà', 'Alt Empordà', 'Selva', 'Baix Penedès', 'Alt Penedès', 'Baix Camp', 'Bages', 'Osona', 'Montsià', 'Segrià', 'Anoia', 'Baix Ebre']","[('Baix Llobregat', '19'), ('Barcelonès', '16'), ('Vallès Occidental', '15'), ('Vallès Oriental', '11'), ('Maresme', '8'), ('Tarragonès', '6'), ('Gironès', '5'), ('Garraf', '5'), ('Baix Empordà', '4'), ('Alt Empordà', '4'), ('Selva', '4'), ('Baix Penedès', '3'), ('Alt Penedès', '3'), ('Baix Camp', '3'), ('Bages', '3'), ('Osona', '3'), ('Montsià', '3'), ('Segrià', '3'), ('Anoia', '3'), ('Baix Ebre', '2')]",SIE,
TELÈFON,tel_fon,text,Telèfon,"['936197311', '977920406', '972201962', '662959880 / 937273534', '650918166', '937246167', '934597049', '972860001', '934770051', '934621121', '938752310', '938600706', '934742841', '977707496', '937540500', '977699009', '972336207', '93 566 70 04 ext 3', '973054800', '936351200 ext 156']","[('936197311', '10'), ('977920406', '2'), ('972201962', '2'), ('662959880 / 937273534', '1'), ('650918166', '1'), ('937246167', '1'), ('934597049', '1'), ('972860001', '1'), ('934770051', '1'), ('934621121', '1'), ('938752310', '1'), ('938600706', '1'), ('934742841', '1'), ('977707496', '1'), ('937540500', '1'), ('977699009', '1'), ('972336207', '1'), ('93 566 70 04 ext 3', '1'), ('973054800', '1'), ('936351200 ext 156', '1')]",SIE,
