name,fieldName,dataTypeName,description,items,counts,serviceType,sourceURL
SIAD,siad,text,SIAD o Oficina en la que s’ha atès,"[""Ajuntament de l'Hospitalet de Llobregat"", 'Consell Comarcal del Vallès Oriental', 'Ajuntament de Castelldefels', 'Ajuntament de Vilafranca del Penedès', 'Consell Comarcal de la Selva', 'Ajuntament de Terrassa', 'Ajuntament de Sant Boi de Llobregat', 'Ajuntament de Lleida', 'Ajuntament del Prat de Llobregat', 'Ajuntament de Barcelona', 'Ajuntament de Sabadell', 'Consell Comarcal del Vallès Occidental', 'Ajuntament de Santa Coloma de Gramenet', 'Ajuntament de Sant Joan Despí', 'Ajuntament de Badalona', 'Ajuntament de Sant Cugat del Vallès', 'Consell Comarcal de la Garrotxa', 'Oficina ICD de Barcelona', 'Consell Comarcal del Baix Penedès', 'Ajuntament de Viladecans']","[(""Ajuntament de l'Hospitalet de Llobregat"", '28883'), ('Consell Comarcal del Vallès Oriental', '24110'), ('Ajuntament de Castelldefels', '20396'), ('Ajuntament de Vilafranca del Penedès', '18112'), ('Consell Comarcal de la Selva', '17599'), ('Ajuntament de Terrassa', '17303'), ('Ajuntament de Sant Boi de Llobregat', '17069'), ('Ajuntament de Lleida', '16431'), ('Ajuntament del Prat de Llobregat', '15365'), ('Ajuntament de Barcelona', '15292'), ('Ajuntament de Sabadell', '13979'), ('Consell Comarcal del Vallès Occidental', '13601'), ('Ajuntament de Santa Coloma de Gramenet', '13159'), ('Ajuntament de Sant Joan Despí', '12149'), ('Ajuntament de Badalona', '12146'), ('Ajuntament de Sant Cugat del Vallès', '11123'), ('Consell Comarcal de la Garrotxa', '11083'), ('Oficina ICD de Barcelona', '10549'), ('Consell Comarcal del Baix Penedès', '10549'), ('Ajuntament de Viladecans', '10000')]",SIAD,
Sexe,sexe,text,Sexe de la persona atesa,"['Dones', 'Homes', 'Altres']","[('Dones', '691222'), ('Homes', '15980'), ('Altres', '251')]",SIAD,
Edat,edat,text,Edat agrupada de la persona atesa,"['De 30 a 45 anys', 'De 46 a 65 anys', 'De 19 a 29 anys', 'Més de 65 anys', 'De 13 a 18 anys', 'Fins a 12 anys', 'No consta']","[('De 30 a 45 anys', '300954'), ('De 46 a 65 anys', '235027'), ('De 19 a 29 anys', '91054'), ('Més de 65 anys', '44300'), ('De 13 a 18 anys', '17775'), ('Fins a 12 anys', '9671'), ('No consta', '8672')]",SIAD,
Discapacitat,discapacitat,text,Discapacitat de la persona atesa,"['No', 'No consta', 'Sí']","[('No', '380271'), ('No consta', '302562'), ('Sí', '24620')]",SIAD,
Comarca,comarca,text,Comarca a la qual pertany el servei que l’ha atès,"['Baix Llobregat', 'Vallès Occidental', 'Barcelonès', 'Vallès Oriental', 'Maresme', 'Segrià', 'Selva', 'Garraf', 'Baix Penedès', 'Alt Penedès', 'Tarragonès', 'Baix Camp', 'Gironès', 'Alt Camp', 'Osona', 'Alt Empordà', 'Garrotxa', 'Baix Empordà', 'Baix Ebre', 'Bages']","[('Baix Llobregat', '122311'), ('Vallès Occidental', '102631'), ('Barcelonès', '89375'), ('Vallès Oriental', '41178'), ('Maresme', '33215'), ('Segrià', '27574'), ('Selva', '26032'), ('Garraf', '24783'), ('Baix Penedès', '24535'), ('Alt Penedès', '22852'), ('Tarragonès', '22354'), ('Baix Camp', '18126'), ('Gironès', '14726'), ('Alt Camp', '13388'), ('Osona', '11966'), ('Alt Empordà', '11722'), ('Garrotxa', '11083'), ('Baix Empordà', '9203'), ('Baix Ebre', '8980'), ('Bages', '8531')]",SIAD,
Àmbit,ambit,text,Àmbit territorial funcional al qual pertany el servei que l’ha atès,"['Metropolità', 'Comarques Gironines', 'Penedès', 'Camp de Tarragona', 'Ponent', 'Comarques Centrals', ""Terres de l'Ebre"", 'Alt Pirineu i Aran']","[('Metropolità', '388710'), ('Comarques Gironines', '82998'), ('Penedès', '78673'), ('Camp de Tarragona', '58218'), ('Ponent', '39367'), ('Comarques Centrals', '28186'), (""Terres de l'Ebre"", '17502'), ('Alt Pirineu i Aran', '13799')]",SIAD,
Estat civil,estatcivil,text,Estat civil de la persona atesa,"['No consta', 'Casada', 'Soltera', 'Divorciada', 'Separada de fet', 'Parella de fet', 'Vídua']","[('No consta', '202179'), ('Casada', '169615'), ('Soltera', '135974'), ('Divorciada', '84868'), ('Separada de fet', '68644'), ('Parella de fet', '33437'), ('Vídua', '12736')]",SIAD,
Lloc de naixement,llocdenaixement,text,Lloc de naixement de la persona atesa,"['Espanya', 'Estranger', 'Catalunya', ""Resta d'Espanya"", 'No consta']","[('Espanya', '452445'), ('Estranger', '197455'), ('Catalunya', '27308'), (""Resta d'Espanya"", '18973'), ('No consta', '11272')]",SIAD,
Tipus de família,tipusdefamilia,text,Tipologia de la unitat familiar de la persona atesa,"['No consta', 'Altres', 'Monoparental', 'Unipersonal', 'Parella amb fills', 'Família extensa', 'Parella sense fills', 'Persones sense parentiu']","[('No consta', '228505'), ('Altres', '153475'), ('Monoparental', '137076'), ('Unipersonal', '55799'), ('Parella amb fills', '53241'), ('Família extensa', '52728'), ('Parella sense fills', '21229'), ('Persones sense parentiu', '5400')]",SIAD,
Situació laboral,situaciolaboral,text,Situació laboral de la persona atesa,"['No consta', 'Feina a jornada completa amb contracte', 'Aturada sense prestació', 'Aturada amb prestació', 'Feina a temps parcial amb contracte', 'Jubilada o pensionista', 'Treballa de forma no remunerada', 'Baixa laboral', 'Altres', 'Estudiant', 'Feina a temps parcial sense contracte', 'Autònoma', 'Feina a jornada completa sense contracte', 'Treball domèstic no remunerat', 'Permís de maternitat']","[('No consta', '423108'), ('Feina a jornada completa amb contracte', '75961'), ('Aturada sense prestació', '48002'), ('Aturada amb prestació', '28981'), ('Feina a temps parcial amb contracte', '20997'), ('Jubilada o pensionista', '20990'), ('Treballa de forma no remunerada', '18988'), ('Baixa laboral', '17619'), ('Altres', '17173'), ('Estudiant', '13613'), ('Feina a temps parcial sense contracte', '9171'), ('Autònoma', '8011'), ('Feina a jornada completa sense contracte', '3068'), ('Treball domèstic no remunerat', '1110'), ('Permís de maternitat', '661')]",SIAD,
